Marca	Sku	Modelo	Color	Tipo
SAMSUNG	SAGLXYS26ULTBK256GB	SAMSUNG GALAXY S26 ULTRA 256GB 5G	NEGRO	SOLO
VIVO	VIVOY29S256GDRDTIT	VIVO Y29S 256GB	DORADO	SOLO
VIVO	VIVOY29S256GBBKJADE	VIVO Y29S 256GB	NEGRO	SOLO
VIVO	VIVOY31512GBBK	VIVO Y31 512GB	NEGRO	SOLO
VIVO	VIVOY31512GBWH	VIVO Y31 512GB	BLANCO	SOLO
VIVO	VIVOY39256GVLT	VIVO Y39 256GB	MORADO	SOLO
VIVO	VIVOY39256GBL	VIVO Y39 256GB	AZUL	SOLO
VIVO	VIVOV50LITE256GBK	VIVO V50 LITE 256GB	NEGRO	SOLO
VIVO	VIVOV50LITE256GTGOLD	VIVO V50 LITE 256GB	DORADO	SOLO
VIVO	VIVOV60L256GBRP	VIVO V60 LITE 256GB	ROSA	SOLO
VIVO	VIVOV60L256GBN	VIVO V60 LITE 256GB	NEGRO	SOLO
VIVO	PKVIVOV60L256GBBKBP6	VIVO V60 LITE 256GB	NEGRO	PACK
XIAOMI	XIAOMIREDMIA5MDB64GB	XIAOMI REDMI A5 64GB	NEGRO	SOLO
XIAOMI	XIAREDMIA5128GBMDBK	XIAOMI REDMI A5 128GB	NEGRO	SOLO
XIAOMI	XIAREDMIA5128GBBL	XIAOMI REDMI A5 128GB	AZUL	SOLO
XIAOMI	XIAREDMI15C256GBMDBK	XIAOMI REDMI 15C 256GB 4G	NEGRO	SOLO
XIAOMI	XIAREDMI15C256GBMBL	XIAOMI REDMI 15C 256GB 4G	AZUL	SOLO
XIAOMI	XIAREDMI15C256GBGRN	XIAOMI REDMI 15C 256GB 4G	VERDE	SOLO
XIAOMI	XIARED15256GB4GTG	XIAOMI REDMI 15 256GB 4G	GRIS	SOLO
XIAOMI	XIARED15256GB4GMB	XIAOMI REDMI 15 256GB 4G	NEGRO	SOLO
XIAOMI	XIAREDMI15256GB5GGRT	XIAOMI REDMI 15 256GB 5G	GRIS	SOLO
XIAOMI	XIAREDMI15256GB5GMBK	XIAOMI REDMI 15 256GB 5G	NEGRO	SOLO
XIAOMI	XIAOMIRN14MDBK256GB	XIAOMI REDMI NOTE 14 5G	NEGRO	SOLO
XIAOMI	XIARN14PROMDBK256GB	XIAOMI REDMI NOTE 14 PRO 256GB 5G	NEGRO	SOLO
XIAOMI	XIARN14PROPLMBK256GB	XIAOMI REDMI NOTE 14 PRO PLUS 256GB 5G	NEGRO	SOLO
XIAOMI	XIARN15256GBBK	XIAOMI REDMI NOTE 15 256GB 5G	NEGRO	SOLO
XIAOMI	XIARN15256GBAZL	XIAOMI REDMI NOTE 15 256GB 5G	AZUL	SOLO
XIAOMI	XIARN15256GBMRD	XIAOMI REDMI NOTE 15 256GB 5G	MORADO	SOLO
XIAOMI	XIARNPR15512GBAZL	XIAOMI REDMI NOTE 15 PRO 512GB 5G	AZUL	SOLO
XIAOMI	XIARNPR15512GBBK	XIAOMI REDMI NOTE 15 PRO 512GB 5G	NEGRO	SOLO
XIAOMI	XIARNPPL512GBBK	XIAOMI REDMI NOTE 15 PRO PLUS 512GB	NEGRO	SOLO
XIAOMI	XIAOMI15T512GBGRY	XIAOMI 15T 512GB	GRIS	SOLO
XIAOMI	XIAOMI15TPRO512GBGBBL	XIAOMI 15T PRO 512GB	NEGRO	SOLO
XIAOMI	PKXIA15T512GBGRWTCH5	XIAOMI 15T 512GB R	ROSA	PACK
XIAOMI	PKXIAOMI14TGRWATCH5	XIAOMI 14T 512GB	GRIS	PACK
XIAOMI	PKXIAOMI14TGRISBUDS5	XIAOMI 14T 512GB	GRIS	PACK
XIAOMI	PKXIAOMI15ULTWHWTCH5	XIAOMI 15 ULTRA 512GB	BLANCO	PACK
XIAOMI	PKXIA15T512GBBWTCH5	XIAOMI 15T 512GB	NEGRO	PACK
XIAOMI	PKXIA15T512GBRGWTCH5	XIAOMI 15T 512GB	ROSA	PACK
XIAOMI	PKXIA15T512GBGRWATCH5	XIAOMI 15T 512GB	GRIS	PACK
XIAOMI	PKXIA15TP512GBBWTCH5	XIAOMI 15T PRO 512GB	NEGRO	PACK
XIAOMI	PKXIA15TP512GBGWTCH5	XIAOMI 15T PRO 512GB	GRIS	PACK
XIAOMI	PKXIARNPR15512BKSPK5	XIAOMI REDMI NOTE 15 PRO 512GB 5G	NEGRO	PACK
XIAOMI	PKXIARNPR15512GRSPK5	XIAOMI REDMI NOTE 15 PRO 512GB 5G	GRIS	PACK
XIAOMI	PKXIARNPPL512GBCFB6L	XIAOMI REDMI NOTE 15 PRO PLUS 512GB	MARRÓN	PACK
XIAOMI	PKXIARNPPL512GBBKB6L	XIAOMI REDMI NOTE 15 PRO PLUS 512GB	NEGRO	PACK
ZTE	ZTEBLADEA3664GBBK4G	ZTE BLADE A36 64GB 4G	NEGRO	SOLO
ZTE	ZTEBLADEA56PR128GBDO	ZTE BLADE A56 PRO 128GB	DORADO	SOLO
ZTE	ZTEBLADEA56PR128GBGR	ZTE BLADE A56 PRO 128GB	GRIS	SOLO
ZTE	ZTEBLADEA76256GBBK	ZTE BLADE A76 256GB 5G	NEGRO	SOLO
ZTE	ZTEBLADEA76256GBCEL	ZTE BLADE A76 256GB 5G	CELESTE	SOLO
ZTE	ZTENBIAFOCUS2256GBBK	ZTE NUBIA FOCUS 2 256GB	NEGRO	SOLO
ZTE	ZTENBIAFOCUS2256GBCL	ZTE NUBIA FOCUS 2 256GB	CELESTE	SOLO
ZTE	ZTENUBIANEO3BK256GB	ZTE NUBIA NEO3 256GB	NEGRO	SOLO
ZTE	ZTENUBIANEO3SLV256GB	ZTE NUBIA NEO3 256GB	PLATA	SOLO
ZTE	ZTENUBIAAIR256GBBK	ZTE NUBIA AIR 256GB 5G	NEGRO	SOLO
ZTE	ZTENUBIAAIR512GBBK	ZTE NUBIA AIR 512GB 5G	NEGRO	SOLO
ZTE	PKZTENUBIANEO3BKGAME	ZTE NUBIA NEO3 256GB	NEGRO	PACK
ZTE	PKZTENUBIANEO3SLVGME	ZTE NUBIA NEO3 256GB	PLATA	PACK
APPLE	PKAPLIPH15BKAIRPRO	APPLE IPHONE 15 128GB	NEGRO	PACK
